SIDO_NM,CCG_NM,LAWD_CD,DEPOPULATION_TIER,SUBSIDY_10K_KRW
강원특별자치도,강릉시,51150,,15
강원특별자치도,고성군,51820,우대,20
강원특별자치도,동해시,51170,,15
강원특별자치도,삼척시,51230,우대,20
강원특별자치도,속초시,51210,,15
강원특별자치도,양구군,51800,특별,25
강원특별자치도,양양군,51830,우대,20
강원특별자치도,영월군,51750,우대,20
강원특별자치도,원주시,51130,,15
강원특별자치도,인제군,51810,,15
강원특별자치도,정선군,51770,우대,20
강원특별자치도,철원군,51780,우대,20
강원특별자치도,춘천시,51110,,15
강원특별자치도,태백시,51190,우대,20
강원특별자치도,평창군,51760,우대,20
강원특별자치도,홍천군,51720,우대,20
강원특별자치도,화천군,51790,특별,25
강원특별자치도,횡성군,51730,우대,20
경기도,가평군,41820,우대,20
경기도,고양시 덕양구,41281,,10
경기도,고양시 일산동구,41285,,10
경기도,고양시 일산서구,41287,,10
경기도,과천시,41290,,10
경기도,광명시,41210,,10
경기도,광주시,41610,,10
경기도,구리시,41310,,10
경기도,군포시,41410,,10
경기도,김포시,41570,,10
경기도,남양주시,41360,,10
경기도,동두천시,41250,,10
경기도,부천시 소사구,41194,,10
경기도,부천시 오정구,41196,,10
경기도,부천시 원미구,41192,,10
경기도,성남시 분당구,41135,,10
경기도,성남시 수정구,41131,,10
경기도,성남시 중원구,41133,,10
경기도,수원시 권선구,41113,,10
경기도,수원시 영통구,41117,,10
경기도,수원시 장안구,41111,,10
경기도,수원시 팔달구,41115,,10
경기도,시흥시,41390,,10
경기도,안산시 단원구,41273,,10
경기도,안산시 상록구,41271,,10
경기도,안성시,41550,,10
경기도,안양시 동안구,41173,,10
경기도,안양시 만안구,41171,,10
경기도,양주시,41630,,10
경기도,양평군,41830,,10
경기도,여주시,41670,,10
경기도,연천군,41800,우대,20
경기도,오산시,41370,,10
경기도,용인시 기흥구,41463,,10
경기도,용인시 수지구,41465,,10
경기도,용인시 처인구,41461,,10
경기도,의왕시,41430,,10
경기도,의정부시,41150,,10
경기도,이천시,41500,,10
경기도,파주시,41480,,10
경기도,평택시,41220,,10
경기도,포천시,41650,,10
경기도,하남시,41450,,10
경기도,화성시 동탄구,41597,,10
경기도,화성시 만세구,41591,,10
경기도,화성시 병점구,41595,,10
경기도,화성시 효행구,41593,,10
경상남도,거제시,48310,,15
